order_id;value;status;freight_type;freight_value;payment_type;paid_at;refunded_at;device;company_id;customer_id;product_id;prod_cat
4375;90;estornado;PAC;0;CreditCard;01/03/2021 09:51;24/04/2021 14:16;DESKTOP;;10902;266;cosmetico
4463;180;nao_autorizado;PAC;0;;;;DESKTOP;;13793;267;movel
10042;180;nao_autorizado;JADLOG;0;;;;DESKTOP;;17867;267;movel
9127;299,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 14:22;;DESKTOP;;17180;273;eletronico
11048;149,9;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:51;;MOBILE;;18675;273;eletronico
8619;159;aprovado;SEDEX;0;CreditCard;01/03/2021 13:52;;DESKTOP;;16835;269;cosmetico
9102;0;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;17194;269;cosmetico
8389;229,8;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;16174;271;infoproduto
5844;449,7;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;14785;273;eletronico
5844;449,7;nao_autorizado;SEDEX;0;;;;DESKTOP;;14785;273;eletronico
5844;449,7;nao_autorizado;PAC;0;;;;DESKTOP;;14785;273;eletronico
6574;539,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 11:54;;DESKTOP;;11093;275;cosmetico
6319;159,8;aprovado;CHINAPOST;0;CreditCard;01/03/2021 11:31;;DESKTOP;;10208;277;eletronico
4452;269,9;aprovado;SEDEX;0;CreditCard;01/03/2021 12:31;;DESKTOP;;13714;274;eletronico
11495;269,9;aprovado;JADLOG;0;CreditCard;08/03/2021 13:09;;DESKTOP;;11127;274;eletronico
11495;269,9;aprovado;PAC;0;CreditCard;08/03/2021 13:09;;DESKTOP;;11127;274;eletronico
13870;269,9;aprovado;PAC;0;Boleto;03/03/2021 08:02;;DESKTOP;;20906;274;eletronico
8323;199,9;aprovado;CHINAPOST;0;Boleto;03/03/2021 08:01;;DESKTOP;;16313;279;movel
3842;539,9;aprovado;SEDEX;0;CreditCard;01/03/2021 10:50;;DESKTOP;;11022;276;eletronico
15026;539,9;nao_autorizado;SEDEX;0;;;;DESKTOP;;21706;276;eletronico
6197;391,05;aprovado;CHINAPOST;0;CreditCard;01/03/2021 11:27;;DESKTOP;14;12522;308;limpeza
2826;795,84;aprovado;CHINAPOST;0;CreditCard;01/03/2021 08:06;;MOBILE;18;12680;318;livro
12949;599,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 18:32;;DESKTOP;;20358;324;eletronico
1541;346,28;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:39;;MOBILE;17;10022;326;suplemento
7537;150;aprovado;CHINAPOST;0;CreditCard;01/03/2021 12:45;;DESKTOP;;15985;327;cosmetico
10121;599,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 15:22;;MOBILE;;18033;330;limpeza
17164;197;aprovado;CHINAPOST;0;CreditCard;02/03/2021 08:09;;MOBILE;208;23501;338;eletronico
9113;129,9;estornado;CHINAPOST;0;Boleto;11/03/2021 08:28;29/04/2021 11:55;DESKTOP;;10545;280;infoproduto
17164;197;aprovado;CHINAPOST;0;CreditCard;02/03/2021 08:09;;MOBILE;208;23501;338;eletronico
10324;129,9;pendente;SEDEX;0;Boleto;;;DESKTOP;;10945;280;infoproduto
5539;899,4;aprovado;CHINAPOST;0;CreditCard;01/03/2021 10:54;;DESKTOP;;10067;343;livro
13024;349,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 18:36;;DESKTOP;;19184;348;movel
2985;299,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 08:22;;DESKTOP;;11041;355;livro
4932;299,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 10:16;;MOBILE;;14245;355;livro
4966;299,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 10:20;;DESKTOP;;14177;355;livro
2831;299,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 08:13;;DESKTOP;;11024;360;livro
7979;229,8;nao_autorizado;PAC;0;;;;DESKTOP;;16422;283;suplemento
7869;120;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;16273;287;infoproduto
4833;299,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 10:12;;DESKTOP;;14095;360;livro
8214;228,8;aprovado;CHINAPOST;0;CreditCard;01/03/2021 15:45;;MOBILE;389;16579;366;cosmetico
13014;277;pendente;PAC;0;Boleto;;;DESKTOP;14;20319;292;movel
11065;277;pendente;CHINAPOST;0;Boleto;;;DESKTOP;14;18562;293;cosmetico
4455;297;pendente;JADLOG;0;Boleto;;;DESKTOP;14;10998;294;cosmetico
4638;297;nao_autorizado;CHINAPOST;0;;;;DESKTOP;14;12158;294;cosmetico
6472;297;nao_autorizado;CHINAPOST;0;;;;DESKTOP;14;15062;294;cosmetico
9690;297;nao_autorizado;PAC;0;;;;DESKTOP;14;17144;294;cosmetico
10980;297;nao_autorizado;PAC;0;;;;DESKTOP;14;18579;294;cosmetico
12261;297;nao_autorizado;JADLOG;0;;;;DESKTOP;14;19378;294;cosmetico
12948;297;pendente;CHINAPOST;0;Boleto;;;DESKTOP;14;20324;294;cosmetico
13341;297;aprovado;JADLOG;0;Boleto;13/03/2021 08:09;;DESKTOP;14;20328;294;cosmetico
14703;297;pendente;JADLOG;0;Boleto;;;DESKTOP;14;21494;294;cosmetico
11376;0;nao_autorizado;JADLOG;0;;;;DESKTOP;14;15381;295;eletronico
3464;397,02;aprovado;PAC;0;CreditCard;01/03/2021 08:57;;DESKTOP;14;13044;296;infoproduto
4772;397,02;pendente;CHINAPOST;0;Boleto;;;DESKTOP;14;10982;296;infoproduto
11356;397,02;nao_autorizado;PAC;0;;;;DESKTOP;14;15381;296;infoproduto
11376;0;nao_autorizado;PAC;0;;;;DESKTOP;14;15381;296;infoproduto
12816;397,02;nao_autorizado;PAC;0;;;;DESKTOP;14;10831;296;infoproduto
10992;547;nao_autorizado;JADLOG;0;;;;DESKTOP;14;18494;297;infoproduto
6501;0;nao_autorizado;CHINAPOST;0;;;;DESKTOP;14;10021;298;cosmetico
12231;0;nao_autorizado;SEDEX;0;;;;DESKTOP;14;10154;299;eletronico
8800;228,8;aprovado;CHINAPOST;0;CreditCard;01/03/2021 14:07;;DESKTOP;389;17025;366;cosmetico
12780;228,8;aprovado;CHINAPOST;0;Boleto;06/03/2021 08:42;;DESKTOP;389;15752;366;cosmetico
2823;228,8;aprovado;CHINAPOST;0;CreditCard;01/03/2021 08:10;;DESKTOP;389;12360;367;eletronico
6319;159,8;aprovado;SEDEX;0;CreditCard;01/03/2021 11:31;;DESKTOP;;10208;303;infoproduto
6108;237;pendente;SEDEX;0;Boleto;;;DESKTOP;14;13031;305;eletronico
9195;237;pendente;SEDEX;0;Boleto;;;DESKTOP;14;17248;305;eletronico
14084;237;nao_autorizado;PAC;0;;;;DESKTOP;14;20195;305;eletronico
4803;447;nao_autorizado;SEDEX;0;;;;DESKTOP;14;11231;307;eletronico
8414;0;nao_autorizado;CHINAPOST;0;;;;DESKTOP;14;10051;307;eletronico
8559;447;aprovado;SEDEX;0;CreditCard;01/03/2021 13:50;;DESKTOP;14;15973;307;eletronico
4127;391,05;aprovado;PAC;0;CreditCard;01/03/2021 09:35;;DESKTOP;14;12026;308;limpeza
3493;338,79;aprovado;CHINAPOST;0;CreditCard;01/03/2021 09:01;;DESKTOP;389;10160;367;eletronico
10503;391,05;pendente;PAC;0;Boleto;;;DESKTOP;14;10666;308;limpeza
13867;533,25;nao_autorizado;CHINAPOST;0;;;;DESKTOP;14;20850;309;limpeza
15330;356,79;nao_autorizado;PAC;0;CreditCard;;;MOBILE;24;22100;311;livro
5656;432;pendente;CHINAPOST;0;Boleto;;;MOBILE;24;14797;312;vestuario
4257;338,79;aprovado;CHINAPOST;0;CreditCard;01/03/2021 09:41;;DESKTOP;389;13640;367;eletronico
5839;338,79;aprovado;CHINAPOST;0;CreditCard;01/03/2021 11:18;;DESKTOP;389;10173;367;eletronico
3704;338,79;aprovado;CHINAPOST;0;CreditCard;01/03/2021 09:13;;DESKTOP;389;12098;368;eletronico
11926;149,9;aprovado;SEDEX;0;CreditCard;01/03/2021 17:23;;DESKTOP;;19175;315;eletronico
5993;670,98;aprovado;CHINAPOST;0;CreditCard;01/03/2021 11:13;;DESKTOP;389;14801;368;eletronico
10208;795,84;aprovado;SEDEX;0;CreditCard;01/03/2021 15:31;;DESKTOP;18;17956;318;livro
2765;396,99;nao_autorizado;SEDEX;0;;;;DESKTOP;48;10610;319;infoproduto
13581;396,99;nao_autorizado;PAC;0;;;;DESKTOP;48;20048;319;infoproduto
12258;345,85;nao_autorizado;CHINAPOST;0;;;;DESKTOP;48;10149;320;movel
6011;338,79;aprovado;CHINAPOST;0;CreditCard;01/03/2021 11:16;;DESKTOP;389;10999;368;eletronico
6476;670,98;aprovado;CHINAPOST;0;CreditCard;01/03/2021 11:44;;DESKTOP;389;14894;368;eletronico
11505;599,9;aprovado;JADLOG;0;CreditCard;01/03/2021 17:03;;DESKTOP;;18899;324;eletronico
6741;228,8;aprovado;CHINAPOST;0;CreditCard;01/03/2021 12:02;;DESKTOP;389;15412;368;eletronico
12768;177;nao_autorizado;JADLOG;0;;;;DESKTOP;17;19244;325;eletronico
11187;670,98;aprovado;CHINAPOST;0;CreditCard;01/03/2021 16:34;;DESKTOP;389;18692;368;eletronico
8812;346,28;aprovado;PAC;0;Boleto;04/03/2021 08:06;;DESKTOP;17;17118;326;suplemento
2844;208,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 08:14;;DESKTOP;24;12173;374;cosmetico
8177;150;aprovado;PAC;0;CreditCard;01/03/2021 13:24;;DESKTOP;;16529;327;cosmetico
2211;19,9;aprovado;SEDEX;0;CreditCard;01/03/2021 06:51;;MOBILE;48;10610;328;movel
10560;19,9;pendente;PAC;0;Boleto;;;MOBILE;48;10077;328;movel
16697;19,9;pendente;SEDEX;0;Boleto;;;MOBILE;48;23167;328;movel
8062;299,9;aprovado;JADLOG;0;CreditCard;01/03/2021 13:15;;MOBILE;;16529;329;suplemento
10935;299,9;pendente;CHINAPOST;0;Boleto;;;MOBILE;;18606;329;suplemento
10400;470,04;aprovado;CHINAPOST;0;CreditCard;01/03/2021 15:52;;DESKTOP;24;10053;374;cosmetico
11129;626,67;aprovado;CHINAPOST;0;CreditCard;01/03/2021 17:11;;DESKTOP;24;10030;374;cosmetico
7382;109,9;aprovado;JADLOG;0;CreditCard;01/03/2021 12:40;;DESKTOP;;11020;335;vestuario
11265;397,02;aprovado;SEDEX;0;CreditCard;01/03/2021 16:37;;MOBILE;20;18815;336;eletronico
11848;208,6;aprovado;SEDEX;0;CreditCard;01/03/2021 17:17;;DESKTOP;13;11069;337;eletronico
11129;626,67;aprovado;CHINAPOST;0;CreditCard;01/03/2021 17:11;;DESKTOP;24;10030;374;cosmetico
17164;197;aprovado;JADLOG;0;CreditCard;02/03/2021 08:09;;MOBILE;208;23501;338;eletronico
11129;626,67;aprovado;CHINAPOST;0;CreditCard;01/03/2021 17:11;;DESKTOP;24;10030;375;suplemento
17164;197;aprovado;SEDEX;0;CreditCard;02/03/2021 08:09;;MOBILE;208;23501;338;eletronico
12016;693,44;aprovado;CHINAPOST;0;CreditCard;01/03/2021 17:25;;MOBILE;24;19319;385;cosmetico
3897;199;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:42;;DESKTOP;26;11010;395;limpeza
5306;248,99;aprovado;CHINAPOST;0;CreditCard;01/03/2021 10:40;;DESKTOP;26;10926;395;limpeza
10338;398;aprovado;CHINAPOST;0;CreditCard;01/03/2021 15:49;;DESKTOP;26;18129;395;limpeza
11479;199;aprovado;CHINAPOST;0;Boleto;04/03/2021 08:06;;DESKTOP;26;10956;395;limpeza
11665;199;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:48;;DESKTOP;26;19114;395;limpeza
2782;0;nao_autorizado;PAC;0;;;;DESKTOP;;11077;343;livro
5254;899,4;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;10103;343;livro
5254;899,4;nao_autorizado;PAC;0;;;;DESKTOP;;10103;343;livro
5539;899,4;aprovado;PAC;0;CreditCard;01/03/2021 10:54;;DESKTOP;;10067;343;livro
13336;199;aprovado;CHINAPOST;0;Boleto;05/03/2021 08:03;;DESKTOP;26;20220;395;limpeza
6593;449,7;aprovado;PAC;0;CreditCard;01/03/2021 11:48;;DESKTOP;;15313;343;livro
6744;449,7;aprovado;JADLOG;0;CreditCard;01/03/2021 11:58;;DESKTOP;;15452;343;livro
10346;149,9;nao_autorizado;JADLOG;0;;;;DESKTOP;;18086;343;livro
15010;449,7;aprovado;PAC;0;CreditCard;01/03/2021 20:37;;DESKTOP;;21633;343;livro
16231;199;aprovado;CHINAPOST;0;CreditCard;01/03/2021 22:12;;DESKTOP;26;22195;395;limpeza
13800;299,9;nao_autorizado;JADLOG;0;;;;DESKTOP;;20593;345;cosmetico
9315;150;aprovado;SEDEX;0;CreditCard;01/03/2021 14:33;;DESKTOP;;17364;346;movel
13024;349,9;aprovado;PAC;0;CreditCard;01/03/2021 18:36;;DESKTOP;;19184;346;movel
13800;299,9;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;20593;346;movel
9014;287,7;nao_autorizado;CHINAPOST;0;;;;DESKTOP;208;15492;347;movel
13820;287,7;nao_autorizado;JADLOG;0;;;;DESKTOP;208;20823;347;movel
4787;298;aprovado;CHINAPOST;0;CreditCard;01/03/2021 10:16;;DESKTOP;26;13974;396;eletronico
3143;547,99;aprovado;CHINAPOST;0;CreditCard;01/03/2021 08:31;;DESKTOP;26;11332;397;eletronico
9224;348,97;aprovado;CHINAPOST;0;Boleto;05/06/2021 09:08;;DESKTOP;26;10036;402;suplemento
9144;132,1;nao_autorizado;SEDEX;0;;;;DESKTOP;208;17224;350;suplemento
9526;132,1;nao_autorizado;SEDEX;0;;;;DESKTOP;208;10040;350;suplemento
15771;256,52;nao_autorizado;SEDEX;0;;;;DESKTOP;208;22228;351;vestuario
15771;256,52;nao_autorizado;SEDEX;0;;;;DESKTOP;208;22228;352;vestuario
4631;399;pendente;PAC;0;Boleto;;;DESKTOP;21;14080;353;suplemento
10346;149,9;nao_autorizado;JADLOG;0;;;;DESKTOP;;18086;354;cosmetico
4235;149,99;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:42;;DESKTOP;26;10660;403;eletronico
3494;299,9;nao_autorizado;PAC;0;;;;DESKTOP;;12545;355;livro
4276;299,9;aprovado;JADLOG;0;CreditCard;01/03/2021 09:42;;DESKTOP;;13709;355;livro
8011;547,99;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:45;;DESKTOP;26;10138;403;eletronico
8224;299,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 13:32;;DESKTOP;;16560;404;infoproduto
5087;299,9;aprovado;SEDEX;0;CreditCard;01/03/2021 10:29;;DESKTOP;;14245;355;livro
7989;299,9;nao_autorizado;PAC;0;;;;DESKTOP;;10003;355;livro
7989;299,9;nao_autorizado;PAC;0;;;;DESKTOP;;10003;355;livro
10346;149,9;nao_autorizado;PAC;0;;;;DESKTOP;;18086;355;livro
10346;149,9;nao_autorizado;JADLOG;0;;;;DESKTOP;;18086;355;livro
10656;299,9;nao_autorizado;SEDEX;0;;;;DESKTOP;;18280;355;livro
12013;299,9;pendente;PAC;0;Boleto;;;DESKTOP;;19233;355;livro
13800;299,9;nao_autorizado;JADLOG;0;;;;DESKTOP;;20593;355;livro
2794;0;nao_autorizado;SEDEX;0;;;;DESKTOP;;12023;356;suplemento
2814;449,9;aprovado;JADLOG;0;CreditCard;01/03/2021 08:16;;DESKTOP;;10047;356;suplemento
2932;449,9;aprovado;PAC;0;Boleto;05/03/2021 08:23;;MOBILE;;12806;356;suplemento
6580;449,9;aprovado;JADLOG;0;CreditCard;01/03/2021 11:47;;MOBILE;;15452;356;suplemento
3188;109,9;aprovado;PAC;0;CreditCard;01/03/2021 08:35;;DESKTOP;;11202;357;cosmetico
16119;99,9;nao_autorizado;PAC;0;;;;DESKTOP;;22431;358;infoproduto
2831;299,9;aprovado;SEDEX;0;CreditCard;01/03/2021 08:13;;DESKTOP;;11024;359;eletronico
3376;199,9;nao_autorizado;PAC;0;;;;DESKTOP;;13014;359;eletronico
16119;99,9;nao_autorizado;SEDEX;0;;;;DESKTOP;;22431;359;eletronico
2831;299,9;aprovado;JADLOG;0;CreditCard;01/03/2021 08:13;;DESKTOP;;11024;360;livro
5306;248,99;aprovado;CHINAPOST;0;CreditCard;01/03/2021 10:40;;DESKTOP;26;10926;406;infoproduto
4501;299,9;nao_autorizado;SEDEX;0;;;;DESKTOP;;13851;360;livro
4777;299,9;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;14047;360;livro
6317;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:45;;DESKTOP;26;10779;406;infoproduto
5349;299,9;estornado;PAC;0;Boleto;04/03/2021 08:25;21/05/2021 16:04;DESKTOP;;14435;360;livro
5495;299,9;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;14512;360;livro
6551;299,9;aprovado;PAC;0;CreditCard;01/03/2021 11:47;;DESKTOP;;15313;360;livro
8424;299,9;nao_autorizado;PAC;0;;;;DESKTOP;;16684;360;livro
3411;160,38;aprovado;JADLOG;0;CreditCard;01/03/2021 08:54;;DESKTOP;12;11125;362;livro
8255;199;aprovado;CHINAPOST;0;Boleto;05/03/2021 08:02;;DESKTOP;26;10716;406;infoproduto
11342;199;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:47;;DESKTOP;26;10971;406;infoproduto
11479;199;aprovado;CHINAPOST;0;Boleto;04/03/2021 08:06;;DESKTOP;26;10956;406;infoproduto
11514;199;aprovado;CHINAPOST;0;Boleto;09/03/2021 09:02;;DESKTOP;26;11270;406;infoproduto
11653;398;aprovado;CHINAPOST;0;CreditCard;01/03/2021 17:03;;DESKTOP;26;11079;406;infoproduto
3941;458,91;estornado;CHINAPOST;0;CreditCard;01/03/2021 09:21;02/03/2021 13:35;MOBILE;389;13577;365;livro
11653;398;aprovado;CHINAPOST;0;CreditCard;01/03/2021 17:03;;DESKTOP;26;11079;406;infoproduto
11665;199;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:48;;DESKTOP;26;19114;406;infoproduto
12731;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:52;;DESKTOP;26;10876;406;infoproduto
12731;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:52;;DESKTOP;26;10876;406;infoproduto
12794;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:47;;DESKTOP;26;11098;406;infoproduto
12794;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:47;;DESKTOP;26;11098;406;infoproduto
13336;199;aprovado;CHINAPOST;0;Boleto;05/03/2021 08:03;;DESKTOP;26;20220;406;infoproduto
8214;228,8;aprovado;SEDEX;0;CreditCard;01/03/2021 15:45;;MOBILE;389;16579;365;livro
16231;199;aprovado;CHINAPOST;0;CreditCard;01/03/2021 22:12;;DESKTOP;26;22195;406;infoproduto
9224;348,97;aprovado;CHINAPOST;0;Boleto;05/06/2021 09:08;;DESKTOP;26;10036;409;cosmetico
4775;298;aprovado;CHINAPOST;0;CreditCard;01/03/2021 10:08;;DESKTOP;26;10889;412;suplemento
12795;298;aprovado;CHINAPOST;0;CreditCard;01/03/2021 18:19;;DESKTOP;26;10002;412;suplemento
16301;598;aprovado;CHINAPOST;0;CreditCard;01/03/2021 21:54;;DESKTOP;26;22747;414;livro
6264;199;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:44;;DESKTOP;26;10608;417;eletronico
6264;199;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:44;;DESKTOP;26;10608;417;eletronico
16771;704,88;aprovado;JADLOG;0;CreditCard;01/03/2021 22:22;;MOBILE;389;23201;365;livro
17223;704,88;aprovado;PAC;0;CreditCard;01/03/2021 22:55;;MOBILE;389;23487;365;livro
10817;199;aprovado;CHINAPOST;0;Boleto;06/03/2021 08:42;;DESKTOP;26;10836;417;eletronico
11938;199;aprovado;CHINAPOST;0;Boleto;04/03/2021 08:06;;DESKTOP;26;11220;417;eletronico
12975;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:47;;DESKTOP;26;20332;417;eletronico
2823;228,8;aprovado;SEDEX;0;CreditCard;01/03/2021 08:10;;DESKTOP;389;12360;366;cosmetico
2895;228,8;aprovado;SEDEX;0;CreditCard;01/03/2021 08:22;;DESKTOP;389;12609;366;cosmetico
4527;228,8;nao_autorizado;PAC;0;;;;DESKTOP;389;13694;366;cosmetico
4580;338,79;nao_autorizado;CHINAPOST;0;;;;DESKTOP;389;11194;366;cosmetico
4860;228,8;nao_autorizado;PAC;0;;;;DESKTOP;389;14023;366;cosmetico
4884;457,6;aprovado;SEDEX;0;CreditCard;01/03/2021 10:16;;DESKTOP;389;11224;366;cosmetico
4884;457,6;aprovado;JADLOG;0;CreditCard;01/03/2021 10:16;;DESKTOP;389;11224;366;cosmetico
4945;228,8;nao_autorizado;PAC;0;;;;DESKTOP;389;11861;366;cosmetico
4951;0;nao_autorizado;JADLOG;0;;;;DESKTOP;389;10165;366;cosmetico
5241;0;nao_autorizado;CHINAPOST;0;;;;DESKTOP;389;10159;366;cosmetico
5837;228,8;nao_autorizado;SEDEX;0;;;;DESKTOP;389;10028;366;cosmetico
6741;228,8;aprovado;PAC;0;CreditCard;01/03/2021 12:02;;DESKTOP;389;15412;366;cosmetico
6741;228,8;aprovado;PAC;0;CreditCard;01/03/2021 12:02;;DESKTOP;389;15412;366;cosmetico
7268;228,8;nao_autorizado;CHINAPOST;0;;;;DESKTOP;389;10153;366;cosmetico
7280;228,8;nao_autorizado;PAC;0;;;;DESKTOP;389;15626;366;cosmetico
15302;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:48;;DESKTOP;26;20305;417;eletronico
16516;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:49;;DESKTOP;26;20201;417;eletronico
8910;228,8;nao_autorizado;CHINAPOST;0;;;;DESKTOP;389;17117;366;cosmetico
10210;228,8;nao_autorizado;CHINAPOST;0;;;;DESKTOP;389;10057;366;cosmetico
10952;228,8;aprovado;PAC;0;CreditCard;01/03/2021 16:33;;DESKTOP;389;18340;366;cosmetico
11007;228,8;aprovado;PAC;0;CreditCard;01/03/2021 16:24;;DESKTOP;389;12988;366;cosmetico
11321;228,8;aprovado;JADLOG;0;CreditCard;01/03/2021 16:47;;DESKTOP;389;10097;366;cosmetico
11595;228,8;aprovado;JADLOG;0;CreditCard;01/03/2021 17:01;;DESKTOP;389;10133;366;cosmetico
12444;228,8;nao_autorizado;JADLOG;0;;;;DESKTOP;389;10079;366;cosmetico
12570;228,8;nao_autorizado;CHINAPOST;0;;;;DESKTOP;389;10167;366;cosmetico
12681;0;nao_autorizado;CHINAPOST;0;;;;DESKTOP;389;15752;366;cosmetico
16620;398;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:49;;DESKTOP;26;22843;417;eletronico
14727;228,8;nao_autorizado;CHINAPOST;0;;;;DESKTOP;389;20286;366;cosmetico
14850;228,8;nao_autorizado;PAC;0;;;;DESKTOP;389;20114;366;cosmetico
15091;228,8;nao_autorizado;CHINAPOST;0;;;;DESKTOP;389;20222;366;cosmetico
3234;428,28;aprovado;CHINAPOST;0;CreditCard;01/03/2021 08:40;;DESKTOP;24;12865;423;limpeza
3032;338,79;nao_autorizado;JADLOG;0;;;;DESKTOP;389;10069;367;eletronico
3070;338,79;aprovado;JADLOG;0;CreditCard;01/03/2021 08:25;;DESKTOP;389;10169;367;eletronico
3189;338,79;aprovado;PAC;0;CreditCard;01/03/2021 08:33;;DESKTOP;389;11176;367;eletronico
3449;338,79;aprovado;JADLOG;0;CreditCard;01/03/2021 09:00;;DESKTOP;389;11273;367;eletronico
5396;39,9;aprovado;CHINAPOST;0;Boleto;02/03/2021 08:43;;DESKTOP;25;14617;426;cosmetico
3704;338,79;aprovado;JADLOG;0;CreditCard;01/03/2021 09:13;;DESKTOP;389;12098;367;eletronico
3716;338,79;aprovado;JADLOG;0;CreditCard;01/03/2021 09:11;;DESKTOP;389;11210;367;eletronico
